Number, Lat, Long, Connected 
1,42.730635,-73.681705,2
2,42.730450,-73.681512,1
3,42.730395,-73.681682,1.2
4,42.730334,-73.681859,
5,42.7303063,-73.6818226
6,42.730431,-73.681977
7,42.730501,-73.682083
8,42.730360,-73.682070
9,42.730243, -73.682178
10,42.730202,-73.681866
11,42.730694,-73.682149
12,42.730683,-73.681692
13,42.730545,-73.681194
14,42.730476,-73.682607
15,42.730615,-73.682609
16,42.730308,-73.682637
17,42.730237,-73.682854
18,42.730102,-73.682743
19,42.730033,-73.682219
20,42.730170,-73.682192
21,42.729975,-73.682211
22,42.729887,-73.682682
23,42.729783,-73.682743
24,42.729725,-73.682336
25,42.729586,-73.682019
26,42.729379,-73.682133
27,42.729813,-73.681575
28,42.729851,-73.681586
29,42.730186,-73.681607
30,42.730359,-73.681421
31,42.730636,-73.681138
32,42.730651,-73.681208
33,42.730676,-73.681041
34,42.730144,-73.681161
35,42.730597,-73.680723
36,42.730719,-73.680577
37,42.730582,-73.680621
38,42.730803,-73.680568
39,42.730850,-73.680837
40,42.730947,-73.680945
41,42.730779,-73.680322
42,42.730699,-73.680335
53,42.730612,-73.682850



























